ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
TRL224,Trailer Holmes 5x10 (Single Axle),1/1/2005,5LVBV01055A006763,938-631 TR,div 8,Photos/Library/TRL224-P.jpg,Photos/Library/TRL224-T.jpg,N/A
T49,Truck Pickup Ford F-250 (2005) ,8/31/2005,1FTNF21515EB08504,TX83772,div 8,Photos/Library/T49-P.jpg,Photos/Library/T49-T.jpg,N/A
T200,Pickup Truck Ford F-350 (2003),1/30/2003,1FDWF36S63EA86730,TX114370,div 8,Photos/Library/T200-P.jpg,Photos/Library/T200-T.jpg,N/A
T201,Service Truck Ford F450 (2010),8/28/2017,1FDAF4GR1AEA69293,TX296745,div 8,Photos/Library/T201-P.jpg,Photos/Library/T201-T.jpg,N/A
T202,Service Truck Dodge 5500,2/21/2019,3D6WU7EL5BG546781,TX220491,*,Photos/Library/T202-P.jpg,Photos/Library/T202-T.jpg,N/A
T215,Service Truck Ford F-750 (2008),6/18/2019,3FRNF75S68V662145,*,div 8,Photos/Library/T215-P.jpg,Photos/Library/T215-T.jpg,N/A
T236,Truck Ford F550 (2013) service truck,11/26/2012,1FDUF5GY6DEA18614,TV5-5547,div 8,Photos/Library/T236-P.jpg,Photos/Library/T236-T.jpg,N/A
T241,Pickup Truck Toyota Tundra (2004),12/20/2013,5TBDT441X4S462130,23294TB,div 8,Photos/Library/T241-P.jpg,Photos/Library/T241-T.jpg,N/A
T245,Service Truck Chevy,9/17/2014,1GB2KVCG0BZ343354,TX204592,div 8,Photos/Library/T245-P.jpg,Photos/Library/T245-T.jpg,N/A
T250,Box Truck Freightliner (2001),12/21/2015,1FV3HJAC31HH44772,44570TB,div 8,Photos/Library/T250-P.jpg,Photos/Library/T250-T.jpg,N/A
T343,Ford F-250 (2012) ,12/20/2013,1FT7X2B62CEB52439,TV55543,div 8,Photos/Library/T343-P.jpg,Photos/Library/T343-T.jpg,N/A
T345,Ford F-550 Service w/ Auto Crane,12/20/2013,1FDAF56F1YED79189,23292TB,div 8,Photos/Library/T345-P.jpg,Photos/Library/T345-T.jpg,N/A
*,Welder Trailblazer275 DC w/KohlmillerEngine (On T345),*,*,*,*,Photos/Library/*-P.jpg,Photos/Library/*-T.jpg,N/A
BG1,Bagging Machine Amadas Bagger,*,*,*,div 10,Photos/Library/BG1-P.jpg,Photos/Library/BG1-T.jpg,N/A
OE382,Fork Lift JCB,*,SLP93002VE0662798,*,div 10,Photos/Library/OE382-P.jpg,Photos/Library/OE382-T.jpg,N/A
OE381,Fork Lift Hyundai,*,HHIHHN04CB0001722,*,div 10,Photos/Library/OE381-P.jpg,Photos/Library/OE381-T.jpg,N/A
G322,Grinder Morbark 4600XLT,12/29/2016,188-1151,*,div 9,Photos/Library/G322-P.jpg,Photos/Library/G322-T.jpg,N/A
